기간,자치구,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
2020,합계,4417954,1858554,959907,761821,649174,146491,31300,7520,2038,642,507
2020,종로구,75003,38354,14548,10611,8481,2287,491,160,44,12,15
2020,중구,63686,32280,13634,9018,6557,1627,407,110,24,11,18
2020,용산구,113093,54748,23746,17072,13134,3279,816,192,58,27,21
2020,성동구,135870,57370,30287,24244,18694,4046,913,221,66,15,14
2020,광진구,167427,78614,34549,26011,22225,4658,1023,246,61,22,18
2020,동대문구,167598,80336,34469,25907,20545,4884,1098,258,76,16,9
2020,중랑구,185920,79802,43771,31373,23935,5571,1104,269,63,20,12
2020,성북구,195396,78864,42612,35029,29987,6936,1463,359,86,23,37
2020,강북구,145896,62910,34980,24476,18005,4329,911,182,66,18,19
2020,도봉구,139114,47242,35051,27896,22344,5159,1070,250,68,27,7
2020,노원구,218270,72693,50671,43970,40642,8270,1525,349,96,34,20
2020,은평구,213914,82865,51075,39149,31061,7518,1708,378,106,27,27
2020,서대문구,144838,62836,31181,24579,20158,4727,1033,229,60,23,12
2020,마포구,178482,82892,37132,28300,23521,5171,1069,263,80,34,20
2020,양천구,180633,54209,40097,38365,38006,7848,1590,359,106,28,25
2020,강서구,266982,111673,60472,45922,38018,8575,1748,435,91,32,16
2020,구로구,180531,70287,42421,32715,27041,6288,1346,319,74,29,11
2020,금천구,114715,54928,25257,17249,13216,3174,665,158,44,10,14
2020,영등포구,184714,87715,38052,29051,23325,5114,1059,287,68,17,26
2020,동작구,184229,82352,38886,30461,25265,5660,1192,299,73,27,14
2020,관악구,274811,160288,50680,31931,24427,5784,1266,312,78,20,25
2020,서초구,173502,59621,35330,34035,33834,8007,1924,496,174,43,38
2020,강남구,234872,95007,45250,41093,41719,9047,1996,524,139,62,35
2020,송파구,281959,100587,60789,55076,51282,11100,2410,506,138,39,32
2020,강동구,196499,70081,44967,38288,33752,7432,1473,359,99,26,22
